CATCHER_ID,GAME_YEAR,Opportunities,Actual_Called_Strikes,Called_Strikes_Added,Called_Strikes_Added_Per_100
1379,2021,74,24,1,1.155
1379,2022,6027,1969,-6,-0.098
1379,2023,2036,699,29,1.439
1386,2021,3280,991,-54,-1.641
1386,2022,3454,1157,60,1.724
1386,2023,3464,1097,-3,-0.097
1415,2021,27,3,-5,-19.657
1448,2022,3033,955,15,0.48
1448,2023,2901,868,-23,-0.79
1450,2021,6339,2014,-19,-0.304
1450,2022,6815,2278,82,1.202
1450,2023,3742,1177,-39,-1.044
1452,2022,1061,305,-16,-1.471
1487,2021,2342,738,12,0.496
1487,2023,1709,547,2,0.119
1501,2021,68,21,0,0.028
1507,2021,2419,745,24,1.012
1507,2022,2494,685,-59,-2.36
1507,2023,158,45,-1,-0.898
1547,2022,329,92,-10,-3.007
1561,2021,1513,476,1,0.098
1562,2021,1583,494,2,0.109
1569,2022,26,6,-2,-6.478
1584,2021,2046,666,29,1.404
1584,2022,1375,417,-21,-1.509
1584,2023,62,19,-1,-1.507
1599,2021,3544,1090,-20,-0.569
1599,2022,4324,1316,-72,-1.667
1599,2023,8216,2701,104,1.263
1614,2023,2558,833,18,0.697
1627,2021,243,78,1,0.352
1627,2022,1249,387,-9,-0.708
1627,2023,7993,2540,12,0.146
1630,2023,200,49,-10,-5.027
1638,2021,6894,2288,64,0.925
1638,2022,2268,751,13,0.553
1638,2023,2874,870,-55,-1.901
1673,2021,5546,1726,-4,-0.066
1673,2022,4048,1296,10,0.249
1673,2023,5146,1631,-2,-0.029
1762,2022,414,135,6,1.395
1762,2023,1042,317,-9,-0.894
1788,2021,2715,882,13,0.483
1788,2022,1060,315,-27,-2.527
1788,2023,3538,1175,30,0.836
1790,2021,2802,833,-93,-3.327
1790,2022,5161,1775,84,1.624
1790,2023,6656,2201,36,0.538
1793,2022,333,101,-3,-0.959
1793,2023,55,22,5,8.614
1799,2022,6142,2000,42,0.678
1799,2023,7941,2490,-33,-0.419
1808,2021,2838,933,6,0.224
1808,2022,3648,1206,17,0.471
1828,2022,2388,724,-14,-0.585
1842,2021,396,110,-19,-4.699
1842,2022,3898,1288,25,0.639
1842,2023,6886,2252,16,0.237
1866,2022,4135,1284,-9,-0.229
1866,2023,561,179,7,1.288
1871,2022,1549,453,-20,-1.322
1885,2021,333,104,-2,-0.601
1885,2022,814,260,2,0.19
1895,2023,1423,482,18,1.289
1899,2021,244,76,3,1.129
1903,2022,353,105,-4,-1.126
1903,2023,148,44,-3,-2.325
1927,2021,301,93,0,-0.098
1927,2022,53,16,-1,-1.272
1934,2023,687,210,-4,-0.633
1956,2021,4616,1466,-29,-0.619
1956,2022,5030,1675,28,0.551
1956,2023,3187,1053,22,0.685
1960,2021,1019,290,-15,-1.499
1960,2022,734,219,-4,-0.523
